Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
316,5/11/2023 4:00,7.0,34.775,63.5
317,5/11/2023 5:00,7.25,36.375,60.0
318,5/11/2023 6:00,8.25,37.625,57.25
319,5/11/2023 7:00,8.0,37.825,56.5
320,5/11/2023 8:00,7.333333333,38.36666667,54.66666667
321,5/11/2023 9:00,6.75,37.8,55.75
322,5/11/2023 10:00,5.5,38.275,54.5
323,5/11/2023 11:00,5.0,37.525,56.25
324,5/11/2023 12:00,6.25,35.825,58.5
325,5/11/2023 13:00,6.75,34.8,62.75
326,5/11/2023 14:00,6.75,34.025,66.0
327,5/11/2023 15:00,4.666666667,33.63333333,67.33333333
328,5/11/2023 16:00,4.0,33.225,68.75
329,5/11/2023 17:00,4.0,32.85,70.25
330,5/11/2023 18:00,4.0,32.475,71.0
331,5/11/2023 19:00,4.0,32.2,72.25
332,5/11/2023 20:00,4.0,31.9,73.0
333,5/11/2023 21:00,4.0,31.875,73.0
334,5/11/2023 22:00,4.25,31.8,73.0
335,5/11/2023 23:00,4.0,31.725,73.25
336,5/12/2023 0:00,4.0,31.95,73.0
337,5/12/2023 1:00,4.0,32.625,71.5
338,5/12/2023 2:00,4.0,33.7,69.0
339,5/12/2023 3:00,4.333333333,34.73333333,65.66666667
340,5/12/2023 4:00,5.75,34.975,64.25
341,5/12/2023 5:00,5.0,35.35,61.75
342,5/12/2023 6:00,4.75,36.275,59.5
343,5/12/2023 7:00,4.0,37.125,56.75
344,5/12/2023 8:00,3.5,37.825,54.75
345,5/12/2023 9:00,3.75,37.4,56.0
346,5/12/2023 10:00,3.0,39.625,51.0
347,5/12/2023 11:00,3.0,38.06666667,53.66666667
348,5/12/2023 12:00,3.0,35.825,59.5
349,5/12/2023 13:00,3.5,34.775,62.0
350,5/12/2023 14:00,3.0,34.175,64.0
351,5/12/2023 15:00,3.0,33.5,65.5
352,5/12/2023 16:00,3.0,32.975,67.75
353,5/12/2023 17:00,3.25,32.775,69.0
354,5/12/2023 18:00,3.0,32.55,70.0
355,5/12/2023 19:00,3.0,32.35,70.25
356,5/12/2023 20:00,3.75,32.15,71.0
357,5/12/2023 21:00,3.5,32.0,71.5
358,5/12/2023 22:00,3.0,31.9,72.0
359,5/12/2023 23:00,3.0,31.9,72.0
360,5/13/2023 0:00,3.0,31.9,71.75
361,5/13/2023 1:00,3.0,32.4,71.0
